rule_id,source_rule_candidate_id,source_obligation_id,parent_record_id,article_id,paragraph_id,article_title,section_id,section_title,product_scope,channel_scope,rule_family,logic_type,detection_target,sir_link_type,sir_candidate_fields,evidence_source,evaluation_hint,rule_candidate_summary,obligation_summary,source_span_text,compile_status,manual_verified,reviewer_note
law_fincpa_main_2026-01-02:제16조:②:ob01:rule01,law_fincpa_main_2026-01-02:제16조:②:ob01:rule01,law_fincpa_main_2026-01-02:제16조:②:ob01,law_fincpa_main_2026-01-02:제16조:②,제16조,②,금융상품판매업자등의 관리책임,제1절,영업행위 일반원칙,general,internal_control,internal_control,required_presence,record_system,direct_record_field,internal_control_standard,record_archive,Flag when the mapped field is not evidenced where the obligation requires visible or document-backed presence.,"Establish and maintain internal control standards and procedures for executives, employees, and sales agents/brokers to comply with during their duties.","Establish internal control standards and procedures for executives, employees, and sales agents/brokers to comply with during their duties.",법인인 금융상품판매업자등으로서 대통령령으로 정하는 자는 제1항에 따른 관리업무를 이행하기 위하여 그 임직원 및 금융상품판매대리ㆍ중개업자가 직무를 수행할 때 준수하여야 할 기준 및 절차(이하 “내부통제기준”이라 한다)를 대통령령으로 정하는 바에 따라 마련하여 야 한다.,included_in_layer4_mvp_v0_1,no,"This rule requires corporate financial sales agents/brokers to establish internal control standards (내부통제기준) as mandated by Article 16, Paragraph 2."
law_fincpa_main_2026-01-02:제16조의2:①:ob01:rule01,law_fincpa_main_2026-01-02:제16조의2:①:ob01:rule01,law_fincpa_main_2026-01-02:제16조의2:①:ob01,law_fincpa_main_2026-01-02:제16조의2:①,제16조의2,①,방문판매 및 전화권유판매 임직원의 명부 작성 등,제1절,영업행위 일반원칙,general,visit_sales|phone_sales,recordkeeping,required_record,record_system,direct_record_field,staff_registry|activity_record,record_archive,"Flag when the required log, archive entry, or registry record is missing.",Establish and maintain a registry of employees engaged in door-to-door sales and telemarketing as prescribed by the Presidential Decree.,Create and maintain a registry of employees engaged in door-to-door (visit) sales and telemarketing (phone sales) as prescribed by the Presidential Decree.,방문판매 및 전화권유판매를 하려는 임직원의 명부를 대통령령으로 정하는 바에 따라 작성하여야 한다.,included_in_layer4_mvp_v0_1,no,This rule requires financial sales business operators to maintain a structured registry of their door-to-door and telemarketing sales staff. The system must verify the existence and integrity of this registry.
law_fincpa_main_2026-01-02:제16조의2:②:ob01:rule01,law_fincpa_main_2026-01-02:제16조의2:②:ob01:rule01,law_fincpa_main_2026-01-02:제16조의2:②:ob01,law_fincpa_main_2026-01-02:제16조의2:②,제16조의2,②,방문판매 및 전화권유판매 임직원의 명부 작성 등,제1절,영업행위 일반원칙,general,visit_sales|phone_sales,intermediary,required_response,workflow_metadata,direct_workflow_field,representative_identity|staff_registry,workflow_log,Flag when a triggering request or event exists but the required response evidence is missing.,금융소비자의 요청 시 방문판매 및 전화권유판매 임직원의 신원을 즉시 확인할 수 있는 시스템 또는 절차를 제공해야 한다.,금융소비자 요청 시 방문판매 및 전화권유판매 임직원의 신원을 즉시 확인할 수 있도록 조치,금융소비자가 요청하면 언제든지 금융소비자로 하여금 방문판매 및 전화권유판매를 하려는 임직원의 신원을 확인할 수 있도록 하여야 한다.,included_in_layer4_mvp_v0_1,no,"금융소비자의 신원 확인 요청에 즉각 대응할 수 있는 시스템이나 절차(예: 신원확인증 제시, 콜센터 확인 등)를 마련해야 하므로 하부 설계가 필요합니다."
law_fincpa_main_2026-01-02:제16조의2:③:ob01:rule01,law_fincpa_main_2026-01-02:제16조의2:③:ob01:rule01,law_fincpa_main_2026-01-02:제16조의2:③:ob01,law_fincpa_main_2026-01-02:제16조의2:③,제16조의2,③,방문판매 및 전화권유판매 임직원의 명부 작성 등,제1절,영업행위 일반원칙,general,visit_sales|phone_sales|solicitation,solicitation,required_process,workflow_metadata,direct_workflow_field,solicitation_purpose|representative_identity,workflow_log,Flag when the required workflow step or control checkpoint cannot be evidenced in process metadata.,Ensure that the purpose of solicitation is disclosed to the financial consumer in advance of any door-to-door visit or phone call.,Disclose the purpose of the visit or phone call to the financial consumer in advance.,금융소비자에게 미리 해당 방문 또는 전화가 판매를 권유하기 위한 것이라는 점,included_in_layer4_mvp_v0_1,no,This rule requires system-level verification (such as call script logs or digital consent workflows) confirming that the representative disclosed the solicitation purpose before initiating the main sales pitch.
law_fincpa_main_2026-01-02:제16조의2:③:ob02:rule01,law_fincpa_main_2026-01-02:제16조의2:③:ob02:rule01,law_fincpa_main_2026-01-02:제16조의2:③:ob02,law_fincpa_main_2026-01-02:제16조의2:③,제16조의2,③,방문판매 및 전화권유판매 임직원의 명부 작성 등,제1절,영업행위 일반원칙,general,visit_sales|phone_sales|solicitation,solicitation,required_presence,content_text,direct_content_field,representative_identity|product_identity|product_core_terms,visible_content,Flag when the mapped field is not evidenced where the obligation requires visible or document-backed presence.,Ensure that the representative's name/identity and the type and details of the financial product being sold are disclosed to the consumer prior to door-to-door or telemarketing sales activities.,Disclose the representative's name/identity and the type and details of the financial product being sold.,"방문판매 및 전화권유판매를 하려는 임직원의 성명 또는 명칭, 판매하는 금융상품의 종류 및 내용을 밝혀야 한다",included_in_layer4_mvp_v0_1,no,"This rule maps directly to the mandatory disclosure of representative identity and product details during door-to-door or telemarketing sales, which can be verified via standard disclosure scripts or digital interfaces."
law_fincpa_main_2026-01-02:제17조:①:ob01:rule01,law_fincpa_main_2026-01-02:제17조:①:ob01:rule01,law_fincpa_main_2026-01-02:제17조:①:ob01,law_fincpa_main_2026-01-02:제17조:①,제17조,①,적합성원칙,제2절,금융상품 유형별 영업행위 준수사항,general,contracting|advisory,suitability,required_process,workflow_metadata,direct_workflow_field,consumer_type|consumer_profile,workflow_log,Flag when the required workflow step or control checkpoint cannot be evidenced in process metadata.,Verify and record whether the financial consumer is classified as a general consumer or a professional consumer prior to contract execution or advisory service delivery.,Verify whether the financial consumer is a general or professional consumer when entering into a contract or providing advisory services.,금융상품계약체결등을 하거나 자문업무를 하는 경우에는 상대방인 금융소비자가 일반금융소비자인지 전문금융소비자인지를 확인하여야 한다,included_in_layer4_mvp_v0_1,no,This classification is a prerequisite for applying suitability and adequacy rules. The system must log the verification event and the resulting consumer type classification.
law_fincpa_main_2026-01-02:제17조:②:ob01:rule01,law_fincpa_main_2026-01-02:제17조:②:ob01:rule01,law_fincpa_main_2026-01-02:제17조:②:ob01,law_fincpa_main_2026-01-02:제17조:②,제17조,②,적합성원칙,제2절,금융상품 유형별 영업행위 준수사항,multiple,solicitation|advisory,suitability,required_process,consumer_profile,direct_workflow_field,consumer_profile|suitability_check,consumer_profile_form,Flag when the required workflow step or control checkpoint cannot be evidenced in process metadata.,"When soliciting a general financial consumer, the seller must gather and identify consumer profile information tailored to the specific financial product type (protection, investment, loan, etc.) through interviews or questionnaires.","일반금융소비자에게 권유 시 면담·질문 등을 통해 금융상품 유형별(보장성, 투자성, 대출성 등) 소비자 정보를 파악해야 한다.",면담ㆍ질문 등을 통하여 다음 각 호의 구분에 따른 정보를 파악하고,included_in_layer4_mvp_v0_1,no,This rule establishes the mandatory process of gathering consumer profile information tailored to the product type before any suitability assessment can proceed.
law_fincpa_main_2026-01-02:제17조:②:ob02:rule01,law_fincpa_main_2026-01-02:제17조:②:ob02:rule01,law_fincpa_main_2026-01-02:제17조:②:ob02,law_fincpa_main_2026-01-02:제17조:②,제17조,②,적합성원칙,제2절,금융상품 유형별 영업행위 준수사항,multiple,solicitation|advisory,suitability,required_record,record_system,direct_record_field,consumer_profile|suitability_check|activity_record|record_integrity_control,record_archive,"Flag when the required log, archive entry, or registry record is missing.","Ensure that the consumer's profile information obtained for suitability assessment is confirmed by the consumer via signature, digital signature, recorded voice, or other prescribed methods, and that this confirmation record is maintained and managed.","파악한 소비자 정보에 대해 서명, 기명날인, 녹취 등의 방법으로 확인을 받아 이를 유지·관리해야 한다.","일반금융소비자로부터 서명(「전자서명법」 제2조제2호에 따른 전자서명을 포함한다. 이하 같다), 기명날인, 녹취 또는 그 밖에 대통령령으로 정하는 방법으로 확인을 받아 이를 유지ㆍ관리하여야 하며",included_in_layer4_mvp_v0_1,no,"This rule maps directly to the requirement of obtaining and maintaining consumer confirmation (signature, recording, etc.) on the gathered consumer profile under Article 17, Paragraph 2."
law_fincpa_main_2026-01-02:제17조:②:ob03:rule01,law_fincpa_main_2026-01-02:제17조:②:ob03:rule01,law_fincpa_main_2026-01-02:제17조:②:ob03,law_fincpa_main_2026-01-02:제17조:②,제17조,②,적합성원칙,제2절,금융상품 유형별 영업행위 준수사항,multiple,solicitation|advisory,suitability,required_process,workflow_metadata,direct_workflow_field,consumer_profile|suitability_check,workflow_log,Flag when the required workflow step or control checkpoint cannot be evidenced in process metadata.,Verify that the confirmed consumer profile information is provided to the general financial consumer without delay after the suitability assessment.,확인받은 소비자 정보 내용을 일반금융소비자에게 지체 없이 제공해야 한다.,확인받은 내용을 일반금융소비자에게 지체 없이 제공하여야 한다.,included_in_layer4_mvp_v0_1,no,"This rule ensures compliance with the immediate delivery requirement of the confirmed suitability profile to the consumer, which can be verified via system logs showing the timestamp of confirmation versus the timestamp of delivery."
law_fincpa_main_2026-01-02:제17조:③:ob01:rule01,law_fincpa_main_2026-01-02:제17조:③:ob01:rule01,law_fincpa_main_2026-01-02:제17조:③:ob01,law_fincpa_main_2026-01-02:제17조:③,제17조,③,적합성원칙,제2절,금융상품 유형별 영업행위 준수사항,general,solicitation,suitability,prohibited_presence,workflow_metadata,derived_decision_field,consumer_profile|suitability_check,workflow_log,Flag when the mapped signal or misleading condition is evidenced in visible content or workflow evidence.,Ensure that no financial product is recommended or solicited to a general financial consumer if the product is assessed as unsuitable based on the consumer's profile.,Prohibit recommending contracts deemed unsuitable for general financial consumers based on their assessed profile.,금융상품판매업자등은 제2항 각 호의 구분에 따른 정보를 고려하여 그 일반금융소비자에 게 적합하지 아니하다고 인정되는 계약 체결을 권유해서는 아니 된다.,included_in_layer4_mvp_v0_1,no,This rule directly enforces the core suitability prohibition by comparing the consumer's suitability assessment result with the recommended product's risk rating in the workflow log.
law_fincpa_main_2026-01-02:제17조:⑤:ob01:rule01,law_fincpa_main_2026-01-02:제17조:⑤:ob01:rule01,law_fincpa_main_2026-01-02:제17조:⑤:ob01,law_fincpa_main_2026-01-02:제17조:⑤,제17조,⑤,적합성원칙,제2절,금융상품 유형별 영업행위 준수사항,investment,solicitation|contracting,suitability,required_process,workflow_metadata,derived_decision_field,consumer_type|suitability_check,workflow_log,Flag when the required workflow step or control checkpoint cannot be evidenced in process metadata.,Exempt suitability assessment requirements (paragraphs 1 through 3) when selling private equity funds to professional-type private collective investment schemes.,Exempt suitability principle requirements when selling private equity funds to professional-type private collective investment schemes.,금융상품판매업자등이 「자본시장과 금융투자업에 관한 법률」 제249조의2에 따른 전문투자형 사모집합투자기구의 집합투자증권을 판매하는 경우에는 제1항부터 제3항까지의 규정을 적용하지 아니한다.,included_in_layer4_mvp_v0_1,no,This rule establishes a conditional exemption from suitability assessment workflows based on the specific product type (professional-type private collective investment scheme) and consumer profile.
law_fincpa_main_2026-01-02:제17조:⑤:ob02:rule01,law_fincpa_main_2026-01-02:제17조:⑤:ob02:rule01,law_fincpa_main_2026-01-02:제17조:⑤:ob02,law_fincpa_main_2026-01-02:제17조:⑤,제17조,⑤,적합성원칙,제2절,금융상품 유형별 영업행위 준수사항,investment,solicitation|contracting,suitability,required_process,workflow_metadata,direct_workflow_field,consumer_type|suitability_check,workflow_log,Flag when the required workflow step or control checkpoint cannot be evidenced in process metadata.,"If a qualified investor who is a general financial consumer requests the application of the suitability principle, the system must process the request and apply the suitability assessment workflow.",Apply suitability principle requirements if a general financial consumer among qualified investors requests it under Presidential Decree.,"다만, 같은 법 제249조의2에 따른 적격투자자 중 일반금융소비자등 대통령령으로 정하는 자가 대통령령으로 정하는 바에 따라 요청하는 경우에는 그러하지 아니하다.",included_in_layer4_mvp_v0_1,no,This rule governs the workflow exception where a qualified investor requests to opt back into the suitability assessment framework. The system must log the request and trigger the suitability check.
law_fincpa_main_2026-01-02:제18조:①:ob01:rule01,law_fincpa_main_2026-01-02:제18조:①:ob01:rule01,law_fincpa_main_2026-01-02:제18조:①:ob01,law_fincpa_main_2026-01-02:제18조:①,제18조,①,적정성원칙,제2절,금융상품 유형별 영업행위 준수사항,insurance,contracting,adequacy,required_process,workflow_metadata,direct_workflow_field,consumer_profile|adequacy_check,consumer_profile_form,Flag when the required workflow step or control checkpoint cannot be evidenced in process metadata.,Verify that consumer profile information for insurance (보장성) products is gathered through interviews or questionnaires before concluding a contract without prior solicitation.,Gather consumer profile information for insurance (보장성) products through interviews or questionnaires before contracting without solicitation.,보장성 상품: 제17조제2항제1호 각 목의 정보,included_in_layer4_mvp_v0_1,no,This rule enforces the adequacy principle (적정성원칙) specifically for insurance products when a general consumer initiates a contract without solicitation.
law_fincpa_main_2026-01-02:제18조:①:ob02:rule01,law_fincpa_main_2026-01-02:제18조:①:ob02:rule01,law_fincpa_main_2026-01-02:제18조:①:ob02,law_fincpa_main_2026-01-02:제18조:①,제18조,①,적정성원칙,제2절,금융상품 유형별 영업행위 준수사항,investment,contracting,adequacy,required_process,workflow_metadata,direct_workflow_field,consumer_profile|adequacy_check,consumer_profile_form,Flag when the required workflow step or control checkpoint cannot be evidenced in process metadata.,Verify that consumer profile information for investment products is gathered via interview or questionnaire before concluding a contract without prior solicitation.,Gather consumer profile information for investment (투자성) products through interviews or questionnaires before contracting without solicitation.,투자성 상품: 제17조제2항제2호 각 목의 정보,included_in_layer4_mvp_v0_1,no,"This rule enforces the adequacy principle (적정성원칙) for investment products under Article 18, Paragraph 1, requiring active profile gathering even in non-solicited transactions."
law_fincpa_main_2026-01-02:제18조:①:ob03:rule01,law_fincpa_main_2026-01-02:제18조:①:ob03:rule01,law_fincpa_main_2026-01-02:제18조:①:ob03,law_fincpa_main_2026-01-02:제18조:①,제18조,①,적정성원칙,제2절,금융상품 유형별 영업행위 준수사항,loan,contracting,adequacy,required_process,consumer_profile,direct_workflow_field,consumer_profile|adequacy_check,consumer_profile_form,Flag when the required workflow step or control checkpoint cannot be evidenced in process metadata.,"Before concluding a loan contract without prior solicitation, the financial sales agent must gather the consumer's profile information (including property status, debt status, and net worth) through interviews or questionnaires.",Gather consumer profile information for loan (대출성) products through interviews or questionnaires before contracting without solicitation.,대출성 상품: 제17조제2항제3호 각 목의 정보,included_in_layer4_mvp_v0_1,no,"This rule implements the adequacy principle specifically for loan products (대출성 상품) under Article 18 Paragraph 1, requiring the collection of consumer profile data prior to contract execution when no solicitation occurred."
law_fincpa_main_2026-01-02:제18조:②:ob01:rule01,law_fincpa_main_2026-01-02:제18조:②:ob01:rule01,law_fincpa_main_2026-01-02:제18조:②:ob01,law_fincpa_main_2026-01-02:제18조:②,제18조,②,적정성원칙,제2절,금융상품 유형별 영업행위 준수사항,multiple,solicitation|contracting,adequacy,required_process,workflow_metadata,derived_decision_field,adequacy_check,workflow_log,Flag when the required workflow step or control checkpoint cannot be evidenced in process metadata.,"Ensure that if a financial product is determined to be unsuitable for a general financial consumer based on the adequacy assessment, a notification of unsuitability is generated and delivered to the consumer.",Notify the general financial consumer if a product is determined to be unsuitable based on the adequacy assessment.,해당 금융상품 이 그 일반금융소비자에게 적정하지 아니하다고 판단되는 경우에는 대통령령으로 정하는 바 에 따라 그 사실을 알리고,included_in_layer4_mvp_v0_1,no,This rule requires a system check to verify that an unsuitability notification was triggered and sent to the consumer whenever the adequacy assessment result is 'unsuitable'.
law_fincpa_main_2026-01-02:제18조:②:ob02:rule01,law_fincpa_main_2026-01-02:제18조:②:ob02:rule01,law_fincpa_main_2026-01-02:제18조:②:ob02,law_fincpa_main_2026-01-02:제18조:②,제18조,②,적정성원칙,제2절,금융상품 유형별 영업행위 준수사항,multiple,solicitation|contracting,adequacy,required_record,record_system,direct_record_field,adequacy_check|explanation_confirmation|activity_record,record_archive,"Flag when the required log, archive entry, or registry record is missing.","Verify that the system captures and stores the general financial consumer's confirmation (via signature, seal, audio recording, or other prescribed methods) immediately after they are notified of product unsuitability.","Obtain confirmation from the general financial consumer via signature, seal, audio recording, or other prescribed methods after notifying them of unsuitability.","그 일반금융소비자로부터 서명, 기명날인, 녹취, 그 밖에 대통령령 으로 정하는 방법으로 확인을 받아야 한다",included_in_layer4_mvp_v0_1,no,"This rule ensures that the system maintains a verifiable audit trail of the consumer's explicit acknowledgment of the unsuitability warning, matching the methods specified in the Enforcement Decree."
law_fincpa_main_2026-01-02:제18조:④:ob01:rule01,law_fincpa_main_2026-01-02:제18조:④:ob01:rule01,law_fincpa_main_2026-01-02:제18조:④:ob01,law_fincpa_main_2026-01-02:제18조:④,제18조,④,적정성원칙,제2절,금융상품 유형별 영업행위 준수사항,investment,solicitation|contracting,adequacy,required_process,workflow_metadata,derived_decision_field,product_identity|adequacy_check,workflow_log,Flag when the required workflow step or control checkpoint cannot be evidenced in process metadata.,Exempt the application of the adequacy principle (Paragraphs 1 and 2) when selling private equity investment securities under the Capital Markets Act.,Exempt the application of the adequacy principle (Paragraphs 1 and 2) when selling private equity investment securities under the Capital Markets Act.,금융상품판매업자가 「자본시장과 금융투자업에 관한 법률」 제249조의2에 따른 전문투자 형 사모집합투자기구의 집합투자증권을 판매하는 경우에는 제1항과 제2항을 적용하지 아니 한다.,included_in_layer4_mvp_v0_1,no,This rule establishes a conditional exemption from the adequacy assessment workflow when the product identity is verified as a private equity investment security under the Capital Markets Act.
